linha,id_onibus,timestamp,lat,lon,is_eletrico
7545-10,81404,2025-08-28T15:25:42Z,-23.588347125,-46.76574275,False
7545-10,81530,2025-08-28T15:25:12Z,-23.601537,-46.791821999999996,False
7545-10,81230,2025-08-28T15:25:13Z,-23.553274375,-46.660030750000004,True
7545-10,81429,2025-08-28T15:25:27Z,-23.601478,-46.791829,True
7545-10,81396,2025-08-28T15:25:08Z,-23.557931500000002,-46.667739,False
707K-10,75459,2025-08-28T15:25:03Z,-23.642576750000003,-46.65633875,False
707K-10,75458,2025-08-28T15:25:29Z,-23.667807,-46.7355005,True
707K-10,75455,2025-08-28T15:25:17Z,-23.6683575,-46.7355065,False
707K-10,75450,2025-08-28T15:24:58Z,-23.667807,-46.7355005,True
707K-10,75410,2025-08-28T15:25:10Z,-23.668242,-46.7355055,False
707K-10,75414,2025-08-28T15:25:37Z,-23.667917,-46.7355005,False
707K-10,75412,2025-08-28T15:25:25Z,-23.667917,-46.7355005,True
707K-10,75413,2025-08-28T15:25:21Z,-23.642864,-46.672678000000005,False
707K-10,75408,2025-08-28T15:25:02Z,-23.668242,-46.7355055,True
707K-10,75451,2025-08-28T15:25:12Z,-23.668242,-46.7355055,False
707K-10,75425,2025-08-28T15:25:04Z,-23.668476,-46.735507,True
707K-10,75456,2025-08-28T15:25:04Z,-23.657351562500004,-46.6961065,False
5290-10,63371,2025-08-28T15:25:03Z,-23.6810605,-46.6363105,True
5290-10,63711,2025-08-28T15:25:39Z,-23.563209999999998,-46.639055,False
5290-10,63292,2025-08-28T15:25:04Z,-23.680952499999997,-46.636174499999996,False
5290-10,63357,2025-08-28T15:25:36Z,-23.637763,-46.64132,False
5290-10,63381,2025-08-28T15:25:32Z,-23.680852,-46.636013000000005,True
5290-10,63372,2025-08-28T15:25:37Z,-23.680852,-46.636013000000005,False
5290-10,63382,2025-08-28T15:24:57Z,-23.629943,-46.646716,True
5290-10,63376,2025-08-28T15:25:18Z,-23.602915375000002,-46.6368045,True
5290-10,63375,2025-08-28T15:25:20Z,-23.6776175,-46.629261,False
2724-10,45180,2025-08-28T15:25:27Z,-23.524318,-46.467209249999996,False
2724-10,45741,2025-08-28T15:25:18Z,-23.535751750000003,-46.4742085,True
2724-10,45205,2025-08-28T15:25:14Z,-23.5396435,-46.483474,False
2724-10,45179,2025-08-28T15:25:39Z,-23.524123,-46.4667195,True
2724-10,45023,2025-08-28T15:25:32Z,-23.5396445,-46.483602,False
3789-10,47033,2025-08-28T15:25:05Z,-23.602251,-46.398373,False
3789-10,47025,2025-08-28T15:25:08Z,-23.602451000000002,-46.398201,True
3789-10,47820,2025-08-28T15:25:24Z,-23.6027105,-46.398067,True
3789-10,47242,2025-08-28T15:25:42Z,-23.548706375,-46.46178975,True
3789-10,47240,2025-08-28T15:25:30Z,-23.5660245,-46.46724125,True
3789-10,47376,2025-08-28T15:25:41Z,-23.602251,-46.398373,True
3789-10,47301,2025-08-28T15:25:32Z,-23.593611,-46.40632925,True
3789-10,47124,2025-08-28T15:25:30Z,-23.569326,-46.4474355,False
3789-10,47696,2025-08-28T15:25:30Z,-23.542599000000003,-46.4710815,False
8019-31,80200,2025-08-28T15:25:06Z,-23.59181125,-46.73579,True
8019-31,80411,2025-08-28T15:25:35Z,-23.5458945,-46.746042,True
8019-31,80210,2025-08-28T15:25:02Z,-23.5629095,-46.7470515,False
775V-10,80091,2025-08-28T15:25:33Z,-23.581507000000002,-46.684625499999996,False
775V-10,80148,2025-08-28T15:25:25Z,-23.568599499999998,-46.756144375,False
775V-10,80077,2025-08-28T15:25:41Z,-23.5712865,-46.69927800000001,True
714C-10,80103,2025-08-28T15:25:09Z,-23.6001115,-46.7843265,False
714C-10,80076,2025-08-28T15:25:38Z,-23.555344375,-46.660621750000004,False
714C-10,80146,2025-08-28T15:25:36Z,-23.6001115,-46.7843265,True
714C-10,80359,2025-08-28T15:25:31Z,-23.5777805,-46.725455499999995,True
6500-10,71232,2025-08-28T15:25:30Z,-23.61896,-46.682627,False
6500-10,71041,2025-08-28T15:25:21Z,-23.63908225,-46.697472125000004,False
6500-10,71275,2025-08-28T15:25:30Z,-23.5496475,-46.6398245,True
6500-10,71038,2025-08-28T15:25:40Z,-23.58432275,-46.67035675,False
709M-10,76355,2025-08-28T15:25:40Z,-23.58926625,-46.68188325,True
709M-10,76351,2025-08-28T15:25:00Z,-23.5726825,-46.6898945,False
709M-10,76366,2025-08-28T15:25:24Z,-23.6467459375,-46.70314075,False
6027-10,66413,2025-08-28T15:25:21Z,-23.721618499999998,-46.67191075,True
6027-10,66234,2025-08-28T15:25:33Z,-23.664639375,-46.708090125,True
6027-10,66118,2025-08-28T15:25:00Z,-23.654246999999998,-46.712731500000004,True
6027-10,66304,2025-08-28T15:25:27Z,-23.699622249999997,-46.700959375000004,True
6027-10,66936,2025-08-28T15:25:38Z,-23.727033,-46.682990000000004,False
5300-10,76326,2025-08-28T15:25:18Z,-23.5496935,-46.630829,True
5300-10,76393,2025-08-28T15:25:25Z,-23.547354,-46.63029,False
5300-10,76381,2025-08-28T15:25:21Z,-23.546979,-46.63057,True
5300-10,76310,2025-08-28T15:25:11Z,-23.62182025,-46.679286,False
5300-10,76324,2025-08-28T15:25:28Z,-23.6497811875,-46.70390193750001,True
5300-10,76318,2025-08-28T15:25:30Z,-23.610149687499998,-46.668276125,True
5300-10,76391,2025-08-28T15:25:08Z,-23.654195,-46.711744499999995,False
